neuron_label,root_id,cell_type,subtype,branch_idx,branch_order,mean_diameter_nm,total_length_nm,electrotonic_length,soma_distance_nm,synapse_count,exc_count,inh_count,exc_fraction,regime,regime_name,order_regime,kmeans_regime,is_bpc
exc_23P,864691135848859998,excitatory,23P,0,0,2591.8571428571427,25636.3903823545,0.0275811247967032,12818.19519117725,21,0,21,0.0,1,nonlinear-prone,0,0,False
exc_23P,864691135848859998,excitatory,23P,1,1,7612.0,14778.011774254344,0.0092774205921085,7389.005887127171,17,0,17,0.0,0,summation-like,0,0,False
exc_23P,864691135848859998,excitatory,23P,2,1,3637.2,17370.50202110955,0.0157757278741185,8685.251010554775,14,1,13,0.0714285714285714,0,summation-like,0,0,False
exc_23P,864691135848859998,excitatory,23P,3,1,7540.0,13192.846546519064,0.0083217270192883,6596.423273259532,9,5,4,0.5555555555555556,0,summation-like,0,0,False
exc_23P,864691135848859998,excitatory,23P,4,1,4181.5,15863.12266838469,0.0134364103692297,7931.561334192345,23,4,19,0.1739130434782608,0,summation-like,0,0,False
exc_23P,864691135848859998,excitatory,23P,5,1,3052.285714285714,20248.236039785235,0.0200740605697765,10124.118019892618,14,2,12,0.1428571428571428,0,summation-like,0,0,False
exc_23P,864691135848859998,excitatory,23P,6,8,895.8666666666667,20984.12767145045,0.0383998792251644,149010.76447000282,1,0,1,0.0,1,nonlinear-prone,2,0,False
exc_23P,864691135848859998,excitatory,23P,7,8,877.9487179487179,55710.03014445101,0.1029815552437722,166373.7157065031,0,0,0,,1,nonlinear-prone,2,2,False
exc_23P,864691135848859998,excitatory,23P,8,1,1993.090909090909,14696.158995328473,0.0180302154008835,32984.46988001874,5,0,5,0.0,0,summation-like,0,0,False
exc_23P,864691135848859998,excitatory,23P,9,1,1330.888888888889,10661.96451138462,0.0160076271569028,30967.37263804681,7,0,7,0.0,0,summation-like,0,0,False
exc_23P,864691135848859998,excitatory,23P,10,9,724.3157894736842,54562.270688754965,0.1110424631869421,186783.96365010552,2,0,2,0.0,1,nonlinear-prone,2,2,False
exc_23P,864691135848859998,excitatory,23P,11,9,698.2608695652174,30806.720294010785,0.0638553427512105,174906.18845273342,3,1,2,0.3333333333333333,1,nonlinear-prone,2,0,False
exc_23P,864691135848859998,excitatory,23P,12,2,1715.428571428571,9048.011465985075,0.011965406295087,44856.55511067552,7,2,5,0.2857142857142857,0,summation-like,0,0,False
