neuron_label,root_id,cell_type,subtype,branch_idx,branch_order,mean_diameter_nm,total_length_nm,electrotonic_length,soma_distance_nm,synapse_count,exc_count,inh_count,exc_fraction,regime,regime_name,order_regime,kmeans_regime,is_bpc,clark_evans_raw,interval_cv_raw,pairwise_compactness_raw,clark_evans_z,interval_cv_z,pairwise_compactness_z
exc_23P,864691135848859998,excitatory,23P,0,0,2591.8571428571427,25636.3903823545,0.0275811247967032,12818.19519117725,21,0,21,0.0,1,nonlinear-prone,0,0,False,0.8099501190204434,1.5006329492362602,0.2309640439295545,-0.7848724079459519,3.1831813583182744,-2.911535026133452
exc_23P,864691135848859998,excitatory,23P,1,1,7612.0,14778.011774254344,0.0092774205921085,7389.005887127171,17,0,17,0.0,0,summation-like,0,0,False,0.9307624511726091,0.5425227742816894,0.25750942134792276,-0.030564664816396865,-1.8935122683498025,-1.7906055701568342
exc_23P,864691135848859998,excitatory,23P,2,1,3637.2,17370.50202110955,0.0157757278741185,8685.251010554775,14,1,13,0.0714285714285714,0,summation-like,0,0,False,0.555544765898316,1.3244644339731837,0.2758444963087552,-1.8296042536419703,1.9916041197734773,-1.2830543130148018
exc_23P,864691135848859998,excitatory,23P,3,1,7540.0,13192.846546519064,0.0083217270192883,6596.423273259532,9,5,4,0.5555555555555556,0,summation-like,0,0,False,0.8723741705614376,0.7052093895853745,0.2276747174266987,-0.08975891195450843,-0.6253418572974399,-1.7480943177484238
exc_23P,864691135848859998,excitatory,23P,4,1,4181.5,15863.12266838469,0.0134364103692297,7931.561334192345,23,4,19,0.1739130434782608,0,summation-like,0,0,False,0.7099289831578873,1.0137448926882944,0.212884491430976,-1.5477955162680337,0.4738398887943864,-3.599526006007235
exc_23P,864691135848859998,excitatory,23P,5,1,3052.285714285714,20248.236039785235,0.0200740605697765,10124.118019892618,14,2,12,0.1428571428571428,0,summation-like,0,0,False,0.9105547878279435,0.8563686205410772,0.1831568943287426,-0.080227793217475,-0.27851153829300956,-3.292608983727349
exc_23P,864691135848859998,excitatory,23P,6,8,895.8666666666667,20984.12767145045,0.0383998792251644,149010.76447000282,1,0,1,0.0,1,nonlinear-prone,2,0,False,,,,,,
exc_23P,864691135848859998,excitatory,23P,7,8,877.9487179487179,55710.03014445101,0.1029815552437722,166373.7157065031,0,0,0,,1,nonlinear-prone,2,2,False,,,,,,
exc_23P,864691135848859998,excitatory,23P,8,1,1993.090909090909,14696.158995328473,0.0180302154008835,32984.46988001874,5,0,5,0.0,0,summation-like,0,0,False,0.8652460790259425,1.159214278808632,0.2179276021271442,0.19916788447120337,1.594405250706832,-1.1763710117347947
exc_23P,864691135848859998,excitatory,23P,9,1,1330.888888888889,10661.96451138462,0.0160076271569028,30967.37263804681,7,0,7,0.0,0,summation-like,0,0,False,0.5001752583624662,1.256669619241657,0.27166854545970415,-1.4290162028729756,1.7964061072523398,-0.8251818262537022
exc_23P,864691135848859998,excitatory,23P,10,9,724.3157894736842,54562.270688754965,0.1110424631869421,186783.96365010552,2,0,2,0.0,1,nonlinear-prone,2,2,False,,,,,,
exc_23P,864691135848859998,excitatory,23P,11,9,698.2608695652174,30806.720294010785,0.0638553427512105,174906.18845273342,3,1,2,0.3333333333333333,1,nonlinear-prone,2,0,False,,0.6579075716716584,0.4030524490526875,,0.5249742324708266,0.4494112499803811
exc_23P,864691135848859998,excitatory,23P,12,2,1715.428571428571,9048.011465985075,0.011965406295087,44856.55511067552,7,2,5,0.2857142857142857,0,summation-like,0,0,False,0.6632461033032379,0.7671003955077852,0.28288884818552723,-0.7417862904021121,-0.17676455474345484,-0.6309971828454362
exc_23P,864691135848859998,excitatory,23P,13,2,1394.0,6490.13853506084,0.0095210140841941,43577.6186452134,0,0,0,,0,summation-like,0,0,False,,,,,,
exc_23P,864691135848859998,excitatory,23P,14,3,1641.7142857142858,19617.006669411683,0.0265182327717582,59189.06417837389,16,2,14,0.125,0,summation-like,0,0,False,0.6218803349909036,0.8830788270016151,0.2710127230910636,-1.650306795445262,-0.173335824461058,-1.4733306744284218
exc_23P,864691135848859998,excitatory,23P,15,3,944.2285714285714,102614.82669174546,0.1829077782799817,100687.97418954078,13,3,10,0.2307692307692307,2,compartmentalized,0,2,False,1.0419906544670081,0.9445991134992341,0.3929575709015774,0.6041085103311653,0.193798334009303,1.2724724468917814
exc_23P,864691135848859998,excitatory,23P,16,3,1028.0,17362.232225027186,0.0296598964709033,55503.80402525741,7,0,7,0.0,1,nonlinear-prone,0,0,False,0.81524902901901,0.857175588297736,0.2949182952510547,-0.18363457437906364,0.18850963836058857,-0.5173717966765834
exc_23P,864691135848859998,excitatory,23P,17,3,1022.5714285714286,7508.993051948084,0.0128616149277466,50577.18443871786,0,0,0,,0,summation-like,0,0,False,,,,,,
exc_23P,864691135848859998,excitatory,23P,18,4,1011.6190476190476,30157.10023898088,0.051932796332055,58363.50969348831,11,0,11,0.0,1,nonlinear-prone,1,0,False,0.7932988226800105,0.9371585115176838,0.26246794246486416,-0.5095775910740671,0.2535196315311726,-1.3302899799081846
exc_23P,864691135848859998,excitatory,23P,19,4,476.0,9664.940061334752,0.0242636602419184,48117.429604665245,1,0,1,0.0,0,summation-like,1,0,False,,,,,,
exc_23P,864691135848859998,excitatory,23P,20,4,572.5714285714286,8281.620369229528,0.0189566289493398,47425.76975861263,1,1,0,1.0,0,summation-like,1,0,False,,,,,,
exc_23P,864691135848859998,excitatory,23P,21,4,1734.5,10448.073207147758,0.0137407260839998,74221.60411665362,4,1,3,0.25,0,summation-like,1,0,False,,0.7311406742123326,0.4278646003799233,,0.29255868531056456,0.7811972643338915
exc_23P,864691135848859998,excitatory,23P,22,4,935.3529411764706,98085.28568153972,0.1756615581070162,118040.2103538496,5,0,5,0.0,2,compartmentalized,1,2,False,0.5887437842203106,0.9628625608475658,0.3581871403537387,-0.835515715681731,0.8546084286669098,0.21605222026066684
exc_23P,864691135848859998,excitatory,23P,23,4,815.7777777777778,92392.5863635499,0.1771788247244765,110381.21331954596,15,0,15,0.0,2,compartmentalized,1,2,False,0.5939348981444771,1.1372123389624575,0.3053745908161217,-1.6990901427102547,1.166614003119059,-0.6676315190096698
exc_23P,864691135848859998,excitatory,23P,24,4,879.0,56486.238223831024,0.104353938105963,92428.03924968652,12,1,11,0.0833333333333333,1,nonlinear-prone,1,0,False,1.2377032805205608,0.5663613250704941,0.27092492879079527,1.514494738900192,-1.463113875051954,-1.1971077370574783
exc_23P,864691135848859998,excitatory,23P,25,5,1490.6,13482.141485100808,0.019126651699343,86186.7114627779,2,1,1,0.5,0,summation-like,1,0,False,,,,,,
exc_23P,864691135848859998,excitatory,23P,26,5,964.3636363636364,29925.355466717825,0.0527812331081005,94408.3184535864,2,0,2,0.0,1,nonlinear-prone,1,0,False,,,,,,
exc_23P,864691135848859998,excitatory,23P,27,5,819.2888888888889,65621.44916947863,0.1255705833627676,106252.78439771806,10,3,7,0.3,2,compartmentalized,1,2,False,0.6669332915518887,1.0501971960540109,0.34012418834806246,-0.9345726008601914,0.7369643828982548,0.11821949962545251
exc_23P,864691135848859998,excitatory,23P,28,5,760.2105263157895,53638.25778733565,0.106553654921822,100261.1887066466,10,4,6,0.4,1,nonlinear-prone,1,2,False,0.6819364121758975,0.9412674583531405,0.33062892776081115,-0.9360625833869303,0.3216389715510454,-0.0462126535876339
exc_23P,864691135848859998,excitatory,23P,29,6,1595.3333333333333,7442.326414433755,0.0102057193527688,96648.94541254516,0,0,0,,0,summation-like,2,0,False,,,,,,
exc_23P,864691135848859998,excitatory,23P,30,6,1246.6666666666667,20068.677398455537,0.0311317981116678,102962.12090455604,3,0,3,0.0,1,nonlinear-prone,2,0,False,,0.3995669722909106,0.1192341438135211,,-0.33434315387930164,-1.5019746792304185
exc_23P,864691135848859998,excitatory,23P,31,7,1266.888888888889,25437.10335567817,0.0391434425892876,113088.66029760112,3,1,2,0.3333333333333333,1,nonlinear-prone,2,0,False,,0.5116066388785839,0.34075101066204294,,0.04961793281608282,0.014616519363660159
exc_23P,864691135848859998,excitatory,23P,32,7,1143.3488372093022,61608.46986092731,0.0997956641351766,131174.3435502257,9,1,8,0.1111111111111111,1,nonlinear-prone,2,0,False,0.7511539067786404,0.8254996480636914,0.3734746446753385,-0.617791258802482,-0.08665223121163781,0.6370871537742441
exc_23P,864691135848859998,excitatory,23P,33,8,1100.8387096774193,45143.83252227908,0.0745241801746828,148379.12823657974,4,0,4,0.0,1,nonlinear-prone,2,0,False,,0.7671715785762178,0.3476210661415826,,0.41230744221225707,0.14535861342469653
exc_23P,864691135848859998,excitatory,23P,34,8,777.52,109791.9183641147,0.2156627884800358,180703.17115749756,8,2,6,0.25,2,compartmentalized,2,2,False,1.071885238882185,1.1034645700741934,0.2950135136426952,0.7913893885354706,1.173324166221224,-0.6263911810170586
exc_23P,864691135848859998,excitatory,23P,35,4,961.1428571428572,19624.616614820527,0.0346711172849825,66065.67912250932,1,1,0,1.0,1,nonlinear-prone,1,0,False,,,,,,
exc_23P,864691135848859998,excitatory,23P,36,4,812.8,63716.19993237492,0.1224104927772227,88111.47078128651,15,6,9,0.4,2,compartmentalized,1,2,False,0.735670745485097,1.3107749213631725,0.2610441074049459,-0.9874475789205777,1.9141951989064911,-1.7689476960954302
exc_23P,864691135848859998,excitatory,23P,37,9,741.7142857142857,18747.746163031472,0.0377043423573554,203602.60386024436,0,0,0,,1,nonlinear-prone,2,0,False,,,,,,
exc_23P,864691135848859998,excitatory,23P,38,9,695.5,8359.26206271777,0.0173612104178852,198408.3618100875,0,0,0,,0,summation-like,2,0,False,,,,,,
exc_23P,864691135848859998,excitatory,23P,39,5,732.5,46611.0320761457,0.0943290655397981,99183.50346799244,19,5,14,0.2631578947368421,1,nonlinear-prone,1,0,False,0.8977625800110046,0.8200353013362216,0.32967720299302994,-0.20675378706301914,-0.675980549896067,-0.09287498829770362
exc_23P,864691135848859998,excitatory,23P,40,5,594.0,9188.216291865469,0.020648980534194,80472.09557585232,0,0,0,,0,summation-like,1,0,False,,,,,,
exc_23P,864691135848859998,excitatory,23P,41,5,590.25,9187.990304008848,0.0207139611657062,80471.982581924,1,0,1,0.0,0,summation-like,1,0,False,,,,,,
exc_23P,864691135848859998,excitatory,23P,42,5,547.0,8731.296576065812,0.0204477583640939,80243.63571795248,0,0,0,,0,summation-like,1,0,False,,,,,,
exc_23P,864691135848859998,excitatory,23P,43,5,581.1428571428571,7674.513275057443,0.0174369297109825,79715.24406744831,0,0,0,,0,summation-like,1,0,False,,,,,,
exc_23P,864691135848859998,excitatory,23P,44,5,666.0,7669.716169950133,0.0162780660094245,79712.84551489465,0,0,0,,0,summation-like,1,0,False,,,,,,
exc_23P,864691135848859998,excitatory,23P,45,5,565.7142857142857,7370.064682102336,0.0169720129234332,79563.01977097074,1,0,1,0.0,0,summation-like,1,0,False,,,,,,
exc_23P,864691135848859998,excitatory,23P,46,9,977.6,5978.660869591797,0.0104733098049285,173940.3749325152,0,0,0,,0,summation-like,2,0,False,,,,,,
exc_23P,864691135848859998,excitatory,23P,47,9,731.5151515151515,46100.29988893955,0.0933582527296913,194001.19444218907,0,0,0,,1,nonlinear-prone,2,2,False,,,,,,
exc_23P,864691135848859998,excitatory,23P,48,10,744.6315789473684,140760.0194392451,0.2825330256759056,247309.71508693363,3,0,3,0.0,2,compartmentalized,2,2,False,,0.7642821670519678,0.07862942888044198,,0.8967908259471903,-1.7114168880109522
exc_23P,864691135848859998,excitatory,23P,49,10,745.8709677419355,42928.97972486033,0.0860952799941607,198394.19522974125,2,0,2,0.0,1,nonlinear-prone,2,2,False,,,,,,
exc_23P,864691135848859998,excitatory,23P,50,2,1053.6,6013.01100562053,0.010146464614507,20377.007523919816,0,0,0,,0,summation-like,0,0,False,,,,,,
exc_23P,864691135848859998,excitatory,23P,51,2,987.2727272727273,14020.51793842226,0.0244402764895034,24380.760990320683,8,0,8,0.0,0,summation-like,0,0,False,1.050331504663904,0.8079566261618153,0.35896080067742026,0.6728186622960021,-0.12507172942293956,0.3629513076434382
exc_23P,864691135848859998,excitatory,23P,52,2,1464.857142857143,8993.277525764612,0.0128700722939219,24744.874802667546,2,1,1,0.5,0,summation-like,0,0,False,,,,,,
exc_23P,864691135848859998,excitatory,23P,53,2,1058.8,4299.414451497862,0.0072370733265339,22397.94326553417,4,0,4,0.0,0,summation-like,0,0,False,,0.250723280910747,0.40494588447498603,,-1.4429975318852895,0.6182674134070867
exc_23P,864691135848859998,excitatory,23P,54,3,909.9545454545456,129748.317791035,0.2355876466146213,88257.67192224758,32,9,23,0.28125,2,compartmentalized,0,2,False,1.1872541005398882,1.0510251217064261,0.3919703489528747,1.690169971641811,0.6271870805708535,2.08486927352417
exc_23P,864691135848859998,excitatory,23P,55,3,1078.1142857142856,49525.04680116231,0.0826138994240164,48146.036427311235,14,1,13,0.0714285714285714,1,nonlinear-prone,0,0,False,0.7924818966135008,1.137280499278605,0.26733998288284233,-0.6781336290362889,1.1458478505619276,-1.477744100534282
exc_23P,864691135848859998,excitatory,23P,56,3,884.875,117566.30301576936,0.2164723970914399,88024.66507343453,24,9,15,0.375,2,compartmentalized,0,2,False,1.041832024978181,0.9668727426944228,0.3222805293335017,0.5579697792463761,0.1942886450449594,-0.3350973726498258
exc_23P,864691135848859998,excitatory,23P,57,3,1420.6666666666667,1561.4254892252825,0.0022690067961182,30022.226310162485,0,0,0,,0,summation-like,0,0,False,,,,,,
exc_23P,864691135848859998,excitatory,23P,58,3,1152.5,27011.85724954921,0.0435807405990124,42747.44219032445,5,0,5,0.0,1,nonlinear-prone,0,0,False,0.30104743538647705,1.358093635314487,0.25333470554682447,-1.895645707949235,2.321503233215857,-0.8361669145206522
exc_23P,864691135848859998,excitatory,23P,59,9,678.0,13548.784281349812,0.028500081936115,202026.86243857883,0,0,0,,1,nonlinear-prone,2,0,False,,,,,,
