neuron_label,branch_idx,regime,cell_type,subtype,n_synapses,n_unique_partners,mean_syns_per_partner,frac_syn_from_multi,pairwise_compactness_z,clark_evans_z,syn_density,total_length_nm,electrotonic_length
exc_23P,0,1,excitatory,23P,21,9,2.3333333333333335,0.7619047619047619,-2.911535026133452,-0.7848724079459519,0.0008191480815666731,25636.3903823545,0.0275811247967032
exc_23P,1,0,excitatory,23P,17,9,1.8888888888888888,0.7647058823529411,-1.7906055701568342,-0.0305646648163968,0.0011503577246850427,14778.011774254344,0.0092774205921085
exc_23P,2,0,excitatory,23P,14,10,1.4,0.5714285714285714,-1.2830543130148018,-1.8296042536419703,0.0008059640408196874,17370.50202110955,0.0157757278741185
exc_23P,3,0,excitatory,23P,9,4,2.25,0.7777777777777778,-1.7480943177484238,-0.0897589119545084,0.0006821878787314973,13192.846546519064,0.0083217270192883
exc_23P,4,0,excitatory,23P,23,9,2.5555555555555554,0.8695652173913043,-3.599526006007235,-1.5477955162680337,0.001449903684212135,15863.12266838469,0.0134364103692297
exc_23P,5,0,excitatory,23P,14,7,2.0,0.7142857142857143,-3.292608983727349,-0.080227793217475,0.0006914182535452353,20248.236039785235,0.0200740605697765
exc_23P,8,0,excitatory,23P,5,3,1.6666666666666667,0.6,-1.1763710117347947,0.1991678844712033,0.0003402249527641454,14696.158995328473,0.0180302154008835
exc_23P,9,0,excitatory,23P,7,4,1.75,0.8571428571428571,-0.8251818262537022,-1.4290162028729756,0.0006565394203409276,10661.96451138462,0.0160076271569028
exc_23P,11,1,excitatory,23P,3,3,1.0,0.0,0.4494112499803811,,9.73813496330941e-05,30806.720294010785,0.0638553427512105
exc_23P,12,0,excitatory,23P,7,5,1.4,0.5714285714285714,-0.6309971828454362,-0.7417862904021121,0.0007736506553197538,9048.011465985075,0.011965406295087
exc_23P,14,0,excitatory,23P,16,9,1.7777777777777777,0.625,-1.4733306744284218,-1.650306795445262,0.000815618828582467,19617.006669411683,0.0265182327717582
exc_23P,15,2,excitatory,23P,13,10,1.3,0.3076923076923077,1.2724724468917814,0.6041085103311653,0.0001266873454754443,102614.82669174546,0.1829077782799817
exc_23P,16,1,excitatory,23P,7,5,1.4,0.5714285714285714,-0.5173717966765834,-0.1836345743790636,0.00040317396457292457,17362.232225027186,0.0296598964709033
exc_23P,18,1,excitatory,23P,11,7,1.5714285714285714,0.5454545454545454,-1.3302899799081846,-0.5095775910740671,0.00036475655526659257,30157.10023898088,0.051932796332055
exc_23P,21,0,excitatory,23P,4,3,1.3333333333333333,0.5,0.7811972643338915,,0.000382845709509722,10448.073207147758,0.0137407260839998
exc_23P,22,2,excitatory,23P,5,4,1.25,0.4,0.2160522202606668,-0.835515715681731,5.097604564494868e-05,98085.28568153972,0.1756615581070162
