neuron_label,H,p_value,n_branches,p_bh
exc_23P,3.315828597157463,0.19053596709681422,87,0.6582706195774651
exc_23P_2,0.24262141182830987,0.8857587063651052,82,0.8857587063651052
exc_4P,0.6699067796610052,0.7153714291590636,59,0.8857587063651052
exc_5PET,6.618115091015909,0.03655060480802929,130,0.4386072576963515
exc_5PIT,0.3218402649981442,0.8513600643926209,77,0.8857587063651052
exc_6PCT,2.1066822520943163,0.3487705140083511,58,0.6975410280167021
inh_BC,2.587215787215797,0.2742794248239438,74,0.6582706195774651
inh_BC_2,4.3272718290834575,0.11490657012223339,80,0.6582706195774651
inh_BPC,2.9143040780141973,0.23289861729654118,47,0.6582706195774651
inh_BPC_2,1.1287496287496168,0.5687155884481655,36,0.8530733826722483
inh_MC,0.5429242119382991,0.7622641681826618,71,0.8857587063651052
inh_MC_2,1.4981634475828969,0.472800514926193,52,0.8105151684449022
