neuron_label,H,p_value,n_branches,p_bh
exc_23P,9.787555811630682,0.007493060856779307,87,0.044958365140675846
exc_23P_2,1.2113910044195961,0.5456947627131217,82,0.5953033775052237
exc_4P,3.375601694915275,0.18492575709385106,59,0.3153913321736994
exc_5PET,3.1188123899001994,0.2102608881157996,130,0.3153913321736994
exc_5PIT,3.5230216400141217,0.17178513125465997,77,0.3153913321736994
exc_6PCT,0.4388856419247986,0.8029660692074935,58,0.8029660692074935
inh_BC,13.696383526383528,0.0010613731727946076,74,0.012736478073535291
inh_BC_2,8.408938672706824,0.014928706089060695,80,0.05971482435624278
inh_BPC,2.8772163120567313,0.2372577547530041,47,0.31634367300400545
inh_BPC_2,1.2338217338217419,0.53960878893482,36,0.5953033775052237
inh_MC,4.747116220047587,0.09314870260752109,71,0.2235568862580506
inh_MC_2,7.066344758289574,0.02921209686947457,52,0.0876362906084237
