neuron_label,root_id,cell_type,subtype,branch_idx,branch_order,mean_diameter_nm,total_length_nm,electrotonic_length,soma_distance_nm,synapse_count,exc_count,inh_count,exc_fraction
exc_23P_2,864691135866483845,excitatory,23P,0,0,2438.3636363636365,21123.473472259655,0.023430239316020465,10561.736736129827,18,8,10,0.4444444444444444
exc_23P_2,864691135866483845,excitatory,23P,1,1,2608.8571428571427,19749.09909772009,0.02117789385100037,9874.549548860045,7,0,7,0.0
exc_23P_2,864691135866483845,excitatory,23P,2,1,6929.0,15886.521582775758,0.010453318037262889,7943.260791387879,5,0,5,0.0
exc_23P_2,864691135866483845,excitatory,23P,3,1,6718.0,12057.794159795563,0.00805765174922688,6028.897079897782,4,3,1,0.75
exc_23P_2,864691135866483845,excitatory,23P,4,1,2323.5,21558.749893057862,0.024496997798993177,10779.374946528931,5,0,5,0.0
exc_23P_2,864691135866483845,excitatory,23P,5,1,936.0,143896.42562217414,0.2576159267728696,71948.21281108707,43,10,33,0.23255813953488372
exc_23P_2,864691135866483845,excitatory,23P,6,1,1511.4,40304.48025921746,0.05678377269900804,20152.24012960873,16,1,15,0.0625
exc_23P_2,864691135866483845,excitatory,23P,7,1,2528.5,21824.871193529718,0.02377282742223599,10912.435596764859,17,4,13,0.23529411764705882
exc_23P_2,864691135866483845,excitatory,23P,8,1,1660.0,4501.400345445569,0.0060513771811973455,23374.17364498244,0,0,0,
exc_23P_2,864691135866483845,excitatory,23P,9,1,1025.3846153846155,16764.448626298155,0.028675203133007896,29505.69778540873,3,0,3,0.0
exc_23P_2,864691135866483845,excitatory,23P,10,2,1668.0,7547.241223444503,0.010121638804811801,29398.494429427472,5,0,5,0.0
exc_23P_2,864691135866483845,excitatory,23P,11,2,884.9230769230769,16806.15639669936,0.0309439868417194,34027.9520160549,3,0,3,0.0
exc_23P_2,864691135866483845,excitatory,23P,12,4,695.2666666666667,87766.90671671942,0.1823121930975373,83306.70697097885,20,4,16,0.2
exc_23P_2,864691135866483845,excitatory,23P,13,4,886.5714285714286,7648.719740267387,0.014069948564986962,43247.61348275283,1,0,1,0.0
exc_23P_2,864691135866483845,excitatory,23P,14,3,1520.8,6025.591275272786,0.008462998130408256,36184.91067878612,5,0,5,0.0
exc_23P_2,864691135866483845,excitatory,23P,15,3,1146.5,9170.231938782585,0.014833851193852094,37757.231010541014,1,0,1,0.0
exc_23P_2,864691135866483845,excitatory,23P,16,4,1420.1666666666667,16593.76233644905,0.024117697049077073,47494.58748464704,8,1,7,0.125
exc_23P_2,864691135866483845,excitatory,23P,17,4,825.4857142857143,101730.8768756409,0.1939360895328068,90063.14475424297,16,1,15,0.0625
exc_23P_2,864691135866483845,excitatory,23P,18,5,804.3333333333334,7515.0725057677155,0.014513620693011167,70827.06773388972,2,0,2,0.0
exc_23P_2,864691135866483845,excitatory,23P,19,5,627.3333333333334,1630.7023417522155,0.0035660394229567248,67884.88265188197,0,0,0,
exc_23P_2,864691135866483845,excitatory,23P,20,8,481.2307692307692,17455.28240134558,0.04358236694529921,204370.70760322546,1,0,1,0.0
exc_23P_2,864691135866483845,excitatory,23P,21,8,1002.6666666666666,1982.5157970134876,0.003429248799666001,196634.32430105942,1,1,0,1.0
exc_23P_2,864691135866483845,excitatory,23P,22,6,746.0,20945.530276180853,0.04200321888040626,85057.36912486401,7,2,5,0.2857142857142857
