neuron_label,root_id,cell_type,subtype,branch_idx,branch_order,mean_diameter_nm,total_length_nm,electrotonic_length,soma_distance_nm,synapse_count,exc_count,inh_count,exc_fraction
exc_4P,864691135738528881,excitatory,4P,0,0,2272.6666666666665,18052.385931375473,0.020740888927482992,9026.192965687736,20,1,19,0.05
exc_4P,864691135738528881,excitatory,4P,1,1,3139.6666666666665,16618.10228798052,0.01624427316789409,8309.05114399026,22,0,22,0.0
exc_4P,864691135738528881,excitatory,4P,2,1,3747.5,15650.298089271651,0.01400272050999026,7825.149044635826,13,0,13,0.0
exc_4P,864691135738528881,excitatory,4P,3,1,2224.25,26726.682729389428,0.031039440617481553,13363.341364694714,5,0,5,0.0
exc_4P,864691135738528881,excitatory,4P,4,1,6541.0,15316.993960957221,0.010373184296721679,7658.496980478611,6,0,6,0.0
exc_4P,864691135738528881,excitatory,4P,5,1,2395.1428571428573,20936.153665519385,0.023431053394530228,10468.076832759692,9,0,9,0.0
exc_4P,864691135738528881,excitatory,4P,6,1,875.0681818181819,142351.9830110076,0.2635743852962888,71175.9915055038,42,2,40,0.047619047619047616
exc_4P,864691135738528881,excitatory,4P,7,1,909.7297297297297,120643.12675612689,0.2190821619697579,60321.563378063445,24,1,23,0.041666666666666664
exc_4P,864691135738528881,excitatory,4P,8,1,2571.3333333333335,20606.955320336758,0.022258467866795868,10303.477660168379,13,1,12,0.07692307692307693
exc_4P,864691135738528881,excitatory,4P,9,8,877.0,10143.98574859129,0.018761582225925076,98851.20952950658,2,0,2,0.0
exc_4P,864691135738528881,excitatory,4P,10,8,591.0,2819.3641800081077,0.00635211079650937,95188.89874521499,0,0,0,
exc_4P,864691135738528881,excitatory,4P,11,1,978.6666666666666,7529.084447365099,0.013182124145307051,21816.928155058024,5,0,5,0.0
exc_4P,864691135738528881,excitatory,4P,12,1,990.5,8989.44006638052,0.015644656378990908,22547.105964565733,1,0,1,0.0
exc_4P,864691135738528881,excitatory,4P,13,3,723.9344262295082,89896.3538151552,0.18300084272065437,101885.78083223745,13,2,11,0.15384615384615385
exc_4P,864691135738528881,excitatory,4P,14,3,1438.6666666666667,1824.6416132404893,0.0026348634431362533,57849.92473128008,0,0,0,
exc_4P,864691135738528881,excitatory,4P,15,2,955.1428571428571,19452.5128264754,0.03447483304026361,35307.72679197827,7,1,6,0.14285714285714285
exc_4P,864691135738528881,excitatory,4P,16,2,805.3968253968254,90896.91834977841,0.1754303906074926,71029.92955362977,28,5,23,0.17857142857142858
exc_4P,864691135738528881,excitatory,4P,17,6,862.0434782608696,67590.67432554196,0.12609063193989095,100211.0155138263,16,7,9,0.4375
exc_4P,864691135738528881,excitatory,4P,18,6,759.4222222222222,65016.22025315085,0.1292232604810772,98923.78847763076,4,2,2,0.5
