neuron_label,root_id,cell_type,subtype,branch_idx,branch_order,mean_diameter_nm,total_length_nm,electrotonic_length,soma_distance_nm,synapse_count,exc_count,inh_count,exc_fraction
exc_5PET,864691135884866160,excitatory,5PET,0,0,5585.333333333333,11985.517715942577,0.008784011123215927,5992.758857971288,24,1,23,0.041666666666666664
exc_5PET,864691135884866160,excitatory,5PET,1,1,1188.4646464646464,306785.8545011766,0.48741941571192926,153392.9272505883,15,4,11,0.26666666666666666
exc_5PET,864691135884866160,excitatory,5PET,2,1,3423.3333333333335,30466.709351100202,0.02852079206740013,15233.354675550101,18,1,17,0.05555555555555555
exc_5PET,864691135884866160,excitatory,5PET,3,1,3248.4,30070.058386890072,0.02889749171024185,15035.029193445036,32,0,32,0.0
exc_5PET,864691135884866160,excitatory,5PET,4,1,7186.0,15953.636725921217,0.010308054821532898,7976.818362960608,21,0,21,0.0
exc_5PET,864691135884866160,excitatory,5PET,5,1,2307.5833333333335,48613.18244717934,0.05542886471466892,24306.59122358967,43,1,42,0.023255813953488372
exc_5PET,864691135884866160,excitatory,5PET,6,1,3378.3636363636365,26321.077073770564,0.024803392587635902,13160.538536885282,36,0,36,0.0
exc_5PET,864691135884866160,excitatory,5PET,7,1,6799.333333333333,17299.131101540974,0.011490839298068385,8649.565550770487,28,0,28,0.0
exc_5PET,864691135884866160,excitatory,5PET,8,1,9629.0,17099.10126293192,0.00954428322062224,8549.55063146596,14,0,14,0.0
exc_5PET,864691135884866160,excitatory,5PET,9,1,3684.6666666666665,7470.962942534781,0.006741213887894142,15720.999187209967,2,0,2,0.0
exc_5PET,864691135884866160,excitatory,5PET,10,1,2149.285714285714,18683.99278051585,0.022074112019444286,21327.514106200502,12,2,10,0.16666666666666666
exc_5PET,864691135884866160,excitatory,5PET,11,2,3779.3333333333335,7363.0006308177635,0.006560060823431969,23137.98097388624,5,0,5,0.0
exc_5PET,864691135884866160,excitatory,5PET,12,2,1122.2650602409637,120940.01763464676,0.1977347202910964,79926.48947580074,33,12,21,0.36363636363636365
exc_5PET,864691135884866160,excitatory,5PET,13,18,1070.7272727272727,30061.659879678984,0.05031924911873977,251468.0000696708,11,4,7,0.36363636363636365
exc_5PET,864691135884866160,excitatory,5PET,14,18,751.7714285714286,49974.61590846911,0.09983140521402728,261424.47808406586,14,9,5,0.6428571428571429
exc_5PET,864691135884866160,excitatory,5PET,15,18,859.7777777777778,23130.212446376834,0.043206306394439904,248002.27635301973,10,5,5,0.5
exc_5PET,864691135884866160,excitatory,5PET,16,3,3414.0,4520.158136883112,0.004237234481100857,29079.56035773668,0,0,0,
