neuron_label,root_id,cell_type,subtype,branch_idx,branch_order,mean_diameter_nm,total_length_nm,electrotonic_length,soma_distance_nm,synapse_count,exc_count,inh_count,exc_fraction
exc_5PIT,864691135256642223,excitatory,5PIT,0,0,4015.0,12038.382413665726,0.010406051901062844,6019.191206832863,10,0,10,0.0
exc_5PIT,864691135256642223,excitatory,5PIT,1,1,3652.0,17121.022128386383,0.015517613531943284,8560.511064193191,11,0,11,0.0
exc_5PIT,864691135256642223,excitatory,5PIT,2,1,3110.0,19073.291281928145,0.018732945692897948,9536.645640964072,6,0,6,0.0
exc_5PIT,864691135256642223,excitatory,5PIT,3,1,7131.0,15410.155612452458,0.009995221744404417,7705.077806226229,6,0,6,0.0
exc_5PIT,864691135256642223,excitatory,5PIT,4,1,3436.0,16114.130115210266,0.015057085477674885,8057.065057605133,11,0,11,0.0
exc_5PIT,864691135256642223,excitatory,5PIT,5,1,1766.4615384615386,27619.466634892266,0.03599347866590267,13809.733317446133,7,0,7,0.0
exc_5PIT,864691135256642223,excitatory,5PIT,6,1,3360.8,18149.53724416675,0.017147659433101047,9074.768622083375,3,0,3,0.0
exc_5PIT,864691135256642223,excitatory,5PIT,7,1,1338.0645161290322,55181.55109804102,0.0826258621885306,27590.77554902051,20,4,16,0.2
exc_5PIT,864691135256642223,excitatory,5PIT,8,1,3866.0,20571.247902075396,0.01812134131505962,10285.623951037698,6,0,6,0.0
exc_5PIT,864691135256642223,excitatory,5PIT,9,1,2767.3333333333335,7233.670685789028,0.007531623879665955,15655.21775656024,0,0,0,
exc_5PIT,864691135256642223,excitatory,5PIT,10,1,2295.0,3594.9862921221384,0.004110233751371071,13835.875559726795,0,0,0,
exc_5PIT,864691135256642223,excitatory,5PIT,11,2,3680.0,4357.008034053533,0.003933915968108136,21450.55711648152,1,0,1,0.0
exc_5PIT,864691135256642223,excitatory,5PIT,12,2,1620.0,6608.64280865318,0.008993223763063208,22576.374503781342,0,0,0,
exc_5PIT,864691135256642223,excitatory,5PIT,13,3,3415.0,1510.227797386871,0.0014154930228735874,24384.17503220172,0,0,0,
exc_5PIT,864691135256642223,excitatory,5PIT,14,3,1142.2105263157894,26116.115280780756,0.042324917986751406,36687.11877389866,4,1,3,0.25
exc_5PIT,864691135256642223,excitatory,5PIT,15,3,1460.5714285714287,17640.069642077837,0.025281306992086812,32449.095954547207,2,0,2,0.0
exc_5PIT,864691135256642223,excitatory,5PIT,16,4,2197.3333333333335,7490.601020996524,0.008752443598646032,28884.58944139342,3,0,3,0.0
exc_5PIT,864691135256642223,excitatory,5PIT,17,4,1368.3,27172.950800018738,0.040235255760831555,38725.76433090452,11,4,7,0.36363636363636365
exc_5PIT,864691135256642223,excitatory,5PIT,18,5,2026.5,10416.461796559637,0.012673820406639738,37838.1208501715,8,0,8,0.0
exc_5PIT,864691135256642223,excitatory,5PIT,19,5,1370.0,28872.442631314025,0.042725177029317725,47066.111267548695,10,1,9,0.1
exc_5PIT,864691135256642223,excitatory,5PIT,20,6,2048.8,6028.385452668939,0.007294774273104974,46060.544474785784,0,0,0,
exc_5PIT,864691135256642223,excitatory,5PIT,21,6,1121.3333333333333,60356.38127761251,0.098722570429034,73224.54238725756,7,6,1,0.8571428571428571
exc_5PIT,864691135256642223,excitatory,5PIT,22,7,1784.5,16564.645962907216,0.02147753865427249,57357.06018257386,1,0,1,0.0
exc_5PIT,864691135256642223,excitatory,5PIT,23,7,870.6315789473684,110988.72911468189,0.20602612681199806,104569.1017584612,25,18,7,0.72
exc_5PIT,864691135256642223,excitatory,5PIT,24,19,652.4,6011.835230478826,0.01289171572474075,478104.0652770913,0,0,0,
exc_5PIT,864691135256642223,excitatory,5PIT,25,19,502.90909090909093,14150.98484263351,0.03456229319254086,482173.64008316863,0,0,0,
exc_5PIT,864691135256642223,excitatory,5PIT,26,8,1895.625,46465.99690753145,0.05845473186429447,88872.3816177932,13,3,10,0.23076923076923078
exc_5PIT,864691135256642223,excitatory,5PIT,27,8,815.047619047619,122864.52273740078,0.23571956654190274,127071.64453272786,21,8,13,0.38095238095238093
exc_5PIT,864691135256642223,excitatory,5PIT,28,6,716.0,70071.03606087757,0.1434308774207066,124099.69093779454,9,8,1,0.8888888888888888
exc_5PIT,864691135256642223,excitatory,5PIT,29,6,633.0,7905.905674071152,0.017211170257888368,93017.12574439133,0,0,0,
exc_5PIT,864691135256642223,excitatory,5PIT,30,20,636.6976744186046,62993.150416939505,0.13673740210806226,512606.5581008005,0,0,0,
exc_5PIT,864691135256642223,excitatory,5PIT,31,20,633.92,34060.2332035023,0.07409536087930661,498140.09949408186,0,0,0,
exc_5PIT,864691135256642223,excitatory,5PIT,32,6,792.8333333333334,141503.0758160731,0.27525521567450084,132253.87049124227,12,6,6,0.5
exc_5PIT,864691135256642223,excitatory,5PIT,33,6,1146.5454545454545,13996.33508054634,0.02264015105324314,68500.50012347887,3,0,3,0.0
exc_5PIT,864691135256642223,excitatory,5PIT,34,9,2082.4,5980.126945077966,0.007177760332524046,115095.44354409791,0,0,0,
exc_5PIT,864691135256642223,excitatory,5PIT,35,9,1036.5384615384614,74948.91659735945,0.1275067792924602,149579.83837023866,28,18,10,0.6428571428571429
exc_5PIT,864691135256642223,excitatory,5PIT,36,18,602.7272727272727,13048.76109079835,0.02911182858950057,475597.7254312669,0,0,0,
exc_5PIT,864691135256642223,excitatory,5PIT,37,18,458.8,11329.978759073592,0.02897196943895428,474738.3342654045,0,0,0,
exc_5PIT,864691135256642223,excitatory,5PIT,38,10,1843.3703703703704,79473.06309011033,0.10138513370241303,157822.03856169205,37,20,17,0.5405405405405406
exc_5PIT,864691135256642223,excitatory,5PIT,39,10,1063.2631578947369,54177.712690776556,0.09100408977816972,145174.36336202518,19,12,7,0.631578947368421
exc_5PIT,864691135256642223,excitatory,5PIT,40,4,790.4848484848485,96530.71574909842,0.18805261575494026,121571.8444459993,25,14,11,0.56
exc_5PIT,864691135256642223,excitatory,5PIT,41,4,747.0,51022.31456303843,0.10224933270016529,98817.64385296931,8,3,5,0.375
