neuron_label,root_id,cell_type,subtype,branch_idx,branch_order,mean_diameter_nm,total_length_nm,electrotonic_length,soma_distance_nm,synapse_count,exc_count,inh_count,exc_fraction
inh_BC_2,864691135135829529,inhibitory,BC,0,0,1917.8947368421052,31543.969654454027,0.03945159716548044,15771.984827227014,25,7,18,0.28
inh_BC_2,864691135135829529,inhibitory,BC,1,1,1347.8620689655172,97576.99939272388,0.1455745178612058,48788.49969636194,34,10,24,0.29411764705882354
inh_BC_2,864691135135829529,inhibitory,BC,2,1,894.8322981366459,250250.7435252463,0.45821064913137394,125125.37176262315,66,34,32,0.5151515151515151
inh_BC_2,864691135135829529,inhibitory,BC,3,1,1559.1538461538462,48085.38165507192,0.0667005184437957,24042.69082753596,27,7,20,0.25925925925925924
inh_BC_2,864691135135829529,inhibitory,BC,4,1,4088.8,18650.504610042677,0.015975456610318097,9325.252305021339,4,1,3,0.25
inh_BC_2,864691135135829529,inhibitory,BC,5,1,8571.0,13484.474034978153,0.007977721867946394,6742.237017489077,10,0,10,0.0
inh_BC_2,864691135135829529,inhibitory,BC,6,1,836.7121212121212,212300.9042027684,0.40199850774847967,106150.4521013842,35,11,24,0.3142857142857143
inh_BC_2,864691135135829529,inhibitory,BC,7,1,3138.75,22870.55090634419,0.02235933539576248,11435.275453172095,18,4,14,0.2222222222222222
inh_BC_2,864691135135829529,inhibitory,BC,8,1,2253.0,26742.240480992292,0.03085871385788807,13371.120240496146,14,3,11,0.21428571428571427
inh_BC_2,864691135135829529,inhibitory,BC,9,1,3278.8571428571427,19515.612765624617,0.018667302787465676,9757.806382812309,5,1,4,0.2
inh_BC_2,864691135135829529,inhibitory,BC,10,1,3970.4,19602.05217719536,0.017039036653127136,9801.02608859768,19,3,16,0.15789473684210525
inh_BC_2,864691135135829529,inhibitory,BC,11,1,8491.0,23408.828420064085,0.013914284703431572,11704.414210032042,12,6,6,0.5
inh_BC_2,864691135135829529,inhibitory,BC,12,1,5893.6,15847.929982843596,0.0113068815544869,7923.964991421798,12,3,9,0.25
inh_BC_2,864691135135829529,inhibitory,BC,13,4,565.2631578947369,83687.19373545985,0.19279434545636268,183483.96730690595,7,3,4,0.42857142857142855
inh_BC_2,864691135135829529,inhibitory,BC,14,4,634.4888888888889,64014.73134251555,0.1391965732617817,173647.73611043382,6,2,4,0.3333333333333333
inh_BC_2,864691135135829529,inhibitory,BC,15,3,643.3947368421053,112519.32829935427,0.24296795945331867,113287.02925610665,12,6,6,0.5
inh_BC_2,864691135135829529,inhibitory,BC,16,3,728.0,25764.308546572658,0.05230141385279523,69909.51937971583,4,3,1,0.75
inh_BC_2,864691135135829529,inhibitory,BC,17,1,884.9787234042553,69026.71475599405,0.12709001083952118,66057.32703245105,15,5,10,0.3333333333333333
inh_BC_2,864691135135829529,inhibitory,BC,18,1,769.0,3193.8329966346028,0.006308261104930507,33140.88615277133,0,0,0,
inh_BC_2,864691135135829529,inhibitory,BC,19,2,861.1692307692308,95761.1419633867,0.17873338961111512,82618.37363278198,36,9,27,0.25
inh_BC_2,864691135135829529,inhibitory,BC,20,2,787.2432432432432,51927.01309208819,0.1013676780517093,60701.30919713272,16,6,10,0.375
inh_BC_2,864691135135829529,inhibitory,BC,21,2,1823.7142857142858,9052.952666498375,0.011611076247267276,18010.950368227343,9,3,6,0.3333333333333333
inh_BC_2,864691135135829529,inhibitory,BC,22,2,627.4246575342465,106108.22167781401,0.23202184304167459,66538.58487388516,30,13,17,0.43333333333333335
inh_BC_2,864691135135829529,inhibitory,BC,23,2,667.5620437956204,203723.7579265746,0.4318734322733661,202432.56337373535,7,3,4,0.42857142857142855
inh_BC_2,864691135135829529,inhibitory,BC,24,2,604.4444444444445,10250.661238538098,0.02283675083825564,105696.01502971712,0,0,0,
inh_BC_2,864691135135829529,inhibitory,BC,25,3,1367.7142857142858,9039.451249688836,0.013387670125364525,27057.152326320946,2,0,2,0.0
inh_BC_2,864691135135829529,inhibitory,BC,26,3,1063.2592592592594,37480.47798314901,0.06295730969804197,41277.665693051036,21,11,10,0.5238095238095238
inh_BC_2,864691135135829529,inhibitory,BC,27,4,917.8222222222222,65947.50920213648,0.11922840666925029,64550.632552233605,37,7,30,0.1891891891891892
