neuron_label,root_id,cell_type,subtype,branch_idx,branch_order,mean_diameter_nm,total_length_nm,electrotonic_length,soma_distance_nm,synapse_count,exc_count,inh_count,exc_fraction
inh_BC,864691135293026230,inhibitory,BC,0,0,2508.1666666666665,21068.36096165485,0.023041629120696922,10534.180480827425,16,3,13,0.1875
inh_BC,864691135293026230,inhibitory,BC,1,1,1036.6027397260275,118150.28063548321,0.20099683030951598,59075.14031774161,58,34,24,0.5862068965517241
inh_BC,864691135293026230,inhibitory,BC,2,1,5473.333333333333,17466.25566897492,0.012931070853308158,8733.12783448746,20,3,17,0.15
inh_BC,864691135293026230,inhibitory,BC,3,1,3334.3333333333335,26183.58650279177,0.024836206046717824,13091.793251395886,12,3,9,0.25
inh_BC,864691135293026230,inhibitory,BC,4,1,722.6666666666666,216855.70184743917,0.4418373866091294,108427.85092371958,47,24,23,0.5106382978723404
inh_BC,864691135293026230,inhibitory,BC,5,1,8082.0,15847.729427271277,0.009655355130822555,7923.8647136356385,10,7,3,0.7
inh_BC,864691135293026230,inhibitory,BC,6,1,3173.1428571428573,20751.2957465458,0.020177206324665155,10375.6478732729,25,7,18,0.28
inh_BC,864691135293026230,inhibitory,BC,7,1,4702.5,15437.299831042996,0.01233012741832646,7718.649915521498,15,7,8,0.4666666666666667
inh_BC,864691135293026230,inhibitory,BC,8,1,1512.3478260869565,46087.6669116428,0.06491118052647556,23043.8334558214,29,12,17,0.41379310344827586
inh_BC,864691135293026230,inhibitory,BC,9,1,7682.0,17319.33855549917,0.010823177421030885,8659.669277749585,12,3,9,0.25
inh_BC,864691135293026230,inhibitory,BC,10,1,7749.0,11782.970762927342,0.007331495915941489,5891.485381463671,6,3,3,0.5
inh_BC,864691135293026230,inhibitory,BC,11,3,694.0854700854701,172594.14712572072,0.3588229522133937,118366.35389443525,43,30,13,0.6976744186046512
inh_BC,864691135293026230,inhibitory,BC,12,3,1032.7272727272727,46536.54654679683,0.0793162103059891,55337.55360497331,20,14,6,0.7
inh_BC,864691135293026230,inhibitory,BC,13,3,508.74418604651163,62609.50101764164,0.15203764725270816,133899.43658558093,16,15,1,0.9375
inh_BC,864691135293026230,inhibitory,BC,14,3,557.4418604651163,60713.249944436044,0.14084593563754572,132951.31104897812,11,8,3,0.7272727272727273
inh_BC,864691135293026230,inhibitory,BC,15,1,1133.0,1409.492461845715,0.0022935511495389316,21773.107192577707,1,1,0,1.0
inh_BC,864691135293026230,inhibitory,BC,16,1,900.6545454545454,79889.84395034499,0.14580522171312643,61013.282936827345,36,18,18,0.5
inh_BC,864691135293026230,inhibitory,BC,17,2,956.0571428571428,50727.02744789616,0.08985828301049924,47841.36714744865,25,12,13,0.48
inh_BC,864691135293026230,inhibitory,BC,18,2,1107.0,9591.426908074332,0.015789560385343803,27273.56687753773,8,2,6,0.25
inh_BC,864691135293026230,inhibitory,BC,19,3,889.1764705882352,176323.38366917023,0.3238743525803111,161366.57270598185,46,43,3,0.9347826086956522
inh_BC,864691135293026230,inhibitory,BC,20,3,604.2162162162163,52048.60552682774,0.11597744512502531,99229.18363481059,24,14,10,0.5833333333333334
inh_BC,864691135293026230,inhibitory,BC,21,2,697.6923076923077,191090.16816153796,0.39624792645886947,121728.67058356076,36,20,16,0.5555555555555556
inh_BC,864691135293026230,inhibitory,BC,22,2,1075.4285714285713,7778.009004562096,0.012990871404491618,30072.59100507282,3,1,2,0.3333333333333333
inh_BC,864691135293026230,inhibitory,BC,23,4,686.9491525423729,86593.50468210902,0.18096044202857725,77273.99500794147,19,9,10,0.47368421052631576
inh_BC,864691135293026230,inhibitory,BC,24,4,561.047619047619,28119.38120570834,0.06502292843564497,48036.93326974112,7,3,4,0.42857142857142855
inh_BC,864691135293026230,inhibitory,BC,25,2,953.4,28490.895557092925,0.050539292069996064,34996.74352509226,14,7,7,0.5
inh_BC,864691135293026230,inhibitory,BC,26,2,943.0,3608.4704401729678,0.006436176317622373,22555.530966632283,0,0,0,
inh_BC,864691135293026230,inhibitory,BC,27,3,922.9677419354839,44987.61687791786,0.08110737652178154,44437.71761811256,28,18,10,0.6428571428571429
inh_BC,864691135293026230,inhibitory,BC,28,3,737.2777777777778,104852.64939414943,0.21150686297330829,74370.23387622835,40,28,12,0.7
inh_BC,864691135293026230,inhibitory,BC,29,3,763.0714285714286,82573.60598593034,0.1637266144833038,90528.9942966039,32,24,8,0.75
inh_BC,864691135293026230,inhibitory,BC,30,3,532.2285714285714,49374.39463859428,0.11722313147242379,73929.38862293586,20,15,5,0.75
inh_BC,864691135293026230,inhibitory,BC,31,3,660.0,101345.86397381975,0.21607010798896625,99385.25641124527,33,19,14,0.5757575757575758
inh_BC,864691135293026230,inhibitory,BC,32,3,836.7246376811594,101255.40821121153,0.19172889869174356,99340.02852994116,40,28,12,0.7
