neuron_label,root_id,cell_type,subtype,branch_idx,branch_order,mean_diameter_nm,total_length_nm,electrotonic_length,soma_distance_nm,synapse_count,exc_count,inh_count,exc_fraction
inh_MC_2,864691136119505176,inhibitory,MC,0,0,2575.1428571428573,13537.638404019905,0.014611771556122654,6768.819202009952,6,2,4,0.3333333333333333
inh_MC_2,864691136119505176,inhibitory,MC,1,1,2046.888888888889,35373.949527781944,0.04282496778292422,17686.974763890972,17,6,11,0.35294117647058826
inh_MC_2,864691136119505176,inhibitory,MC,2,1,2760.0,19640.44156920281,0.02047657582812269,9820.220784601404,6,0,6,0.0
inh_MC_2,864691136119505176,inhibitory,MC,3,1,6693.0,12679.91924264504,0.008489198769131267,6339.95962132252,8,1,7,0.125
inh_MC_2,864691136119505176,inhibitory,MC,4,1,2201.75,22430.643627169175,0.02618293697288434,11215.321813584587,11,2,9,0.18181818181818182
inh_MC_2,864691136119505176,inhibitory,MC,5,1,945.2093023255813,73490.98528075463,0.13092744827571814,36745.49264037731,31,18,13,0.5806451612903226
inh_MC_2,864691136119505176,inhibitory,MC,6,1,1846.0,14947.634298619063,0.019055363732707515,21011.455553329437,15,5,10,0.3333333333333333
inh_MC_2,864691136119505176,inhibitory,MC,7,1,1484.2758620689656,41029.59634913754,0.05833115277865808,34052.43657858868,28,8,20,0.2857142857142857
inh_MC_2,864691136119505176,inhibitory,MC,8,1,1263.7142857142858,185310.88255152808,0.28552037428544275,106193.07967978394,54,38,16,0.7037037037037037
inh_MC_2,864691136119505176,inhibitory,MC,9,3,936.8571428571429,19515.928873072084,0.034923130581491706,59439.01151066528,8,6,2,0.75
inh_MC_2,864691136119505176,inhibitory,MC,10,3,801.6363636363636,128725.96879669826,0.24902221497823276,114044.03147247837,47,32,15,0.6808510638297872
inh_MC_2,864691136119505176,inhibitory,MC,11,2,706.9756097560976,243150.48933245233,0.5008798488185561,150060.51736886514,89,49,40,0.550561797752809
inh_MC_2,864691136119505176,inhibitory,MC,12,2,1219.25,21195.774371490264,0.03324784743606324,39083.1598883841,2,0,2,0.0
inh_MC_2,864691136119505176,inhibitory,MC,13,3,920.5,9844.569897464746,0.01777237538669531,47762.98594480546,1,0,1,0.0
inh_MC_2,864691136119505176,inhibitory,MC,14,3,689.4054054054054,52499.589819686014,0.1095164091234783,69090.4959059161,27,16,11,0.5925925925925926
inh_MC_2,864691136119505176,inhibitory,MC,15,4,767.4725274725274,134686.68688536956,0.26628939940471513,136540.3193898861,69,55,14,0.7971014492753623
inh_MC_2,864691136119505176,inhibitory,MC,16,4,693.6385542168674,120933.40975858032,0.2515013457868458,129663.68082649149,49,25,24,0.5102040816326531
inh_MC_2,864691136119505176,inhibitory,MC,17,4,838.6117647058824,125847.99487294254,0.2380271257208943,115609.2683300091,53,41,12,0.7735849056603774
inh_MC_2,864691136119505176,inhibitory,MC,18,4,752.2388059701492,97986.40578706183,0.19568096805914417,101678.47378706875,46,35,11,0.7608695652173914
inh_MC_2,864691136119505176,inhibitory,MC,19,4,847.9402985074627,97673.20062508732,0.18371871906671536,151719.96882977968,36,25,11,0.6944444444444444
inh_MC_2,864691136119505176,inhibitory,MC,20,4,690.952380952381,121799.73776958525,0.25379491815810845,163783.23740202864,36,29,7,0.8055555555555556
inh_MC_2,864691136119505176,inhibitory,MC,21,3,825.8333333333334,88154.13359948783,0.16801850053831313,130154.78485395832,42,35,7,0.8333333333333334
