neuron_label,root_id,cell_type,subtype,branch_idx,branch_order,mean_diameter_nm,total_length_nm,electrotonic_length,soma_distance_nm,synapse_count,exc_count,inh_count,exc_fraction
inh_MC,864691135273485073,inhibitory,MC,0,0,2451.1111111111113,17984.61516980795,0.019896664521995407,8992.307584903974,17,8,9,0.47058823529411764
inh_MC,864691135273485073,inhibitory,MC,1,1,1514.5555555555557,37811.04248732339,0.053215319582213906,18905.521243661697,26,12,14,0.46153846153846156
inh_MC,864691135273485073,inhibitory,MC,2,1,1695.8333333333333,29244.22823622047,0.03889638214182305,14622.114118110236,19,4,15,0.21052631578947367
inh_MC,864691135273485073,inhibitory,MC,3,1,1876.3636363636363,26308.49380360335,0.033265810431379564,13154.246901801675,11,6,5,0.5454545454545454
inh_MC,864691135273485073,inhibitory,MC,4,1,1106.344827586207,54454.18907551599,0.0896698962862657,27227.094537757996,22,11,11,0.5
inh_MC,864691135273485073,inhibitory,MC,5,1,1282.857142857143,40571.49386079612,0.062042955516151646,20285.74693039806,19,9,10,0.47368421052631576
inh_MC,864691135273485073,inhibitory,MC,6,1,1698.4,33710.53732400659,0.04480291917042401,16855.268662003295,21,11,10,0.5238095238095238
inh_MC,864691135273485073,inhibitory,MC,7,1,3263.2,17028.867740853395,0.0163276827603202,8514.433870426697,22,9,13,0.4090909090909091
inh_MC,864691135273485073,inhibitory,MC,8,1,1776.3636363636363,25976.810254790835,0.033758295650890585,12988.405127395417,16,12,4,0.75
inh_MC,864691135273485073,inhibitory,MC,9,1,1096.909090909091,13797.764275800553,0.02281833913705551,24883.497307708225,5,0,5,0.0
inh_MC,864691135273485073,inhibitory,MC,10,1,785.2244897959183,70543.71806675672,0.1378865975289196,53256.474203186306,35,18,17,0.5142857142857142
inh_MC,864691135273485073,inhibitory,MC,11,2,970.8,6015.442232239918,0.010574584307670132,29316.21491972331,8,5,3,0.625
inh_MC,864691135273485073,inhibitory,MC,12,2,567.936507936508,91300.70076746342,0.20983834141862506,71958.84418733505,34,27,7,0.7941176470588235
inh_MC,864691135273485073,inhibitory,MC,13,3,759.4814814814815,39017.67360590687,0.07754671485393719,51832.77283879671,17,12,5,0.7058823529411765
inh_MC,864691135273485073,inhibitory,MC,14,3,724.1463414634146,58800.252265001254,0.11968139597824452,61724.062168343895,19,13,6,0.6842105263157895
inh_MC,864691135273485073,inhibitory,MC,15,4,604.1666666666666,69531.69635968017,0.1549405424344187,137619.1397710107,35,19,16,0.5428571428571428
inh_MC,864691135273485073,inhibitory,MC,16,4,484.5882352941176,22440.752814150423,0.05583565513917652,114073.66799824583,5,3,2,0.6
inh_MC,864691135273485073,inhibitory,MC,17,3,693.7882352941176,125459.4740957355,0.260885910161404,150649.58791571172,34,17,17,0.5
inh_MC,864691135273485073,inhibitory,MC,18,3,477.14285714285717,18545.364751530604,0.04650201730578,97192.53324360927,3,1,2,0.3333333333333333
inh_MC,864691135273485073,inhibitory,MC,19,3,462.8888888888889,25168.570310270436,0.06407384637374809,149743.32016437728,5,4,1,0.8
inh_MC,864691135273485073,inhibitory,MC,20,3,375.55555555555554,10534.328789617974,0.029773534981470867,142426.19940405106,1,0,1,0.0
inh_MC,864691135273485073,inhibitory,MC,21,4,712.2528735632184,128841.78519766605,0.2644236257807429,135762.50224058316,50,28,22,0.56
inh_MC,864691135273485073,inhibitory,MC,22,4,441.44,34624.08270960783,0.09026160720255916,88653.65099655406,14,8,6,0.5714285714285714
inh_MC,864691135273485073,inhibitory,MC,23,4,508.6666666666667,10424.240051672352,0.025315609722175583,181221.9940521894,1,1,0,1.0
inh_MC,864691135273485073,inhibitory,MC,24,4,616.2857142857143,8995.319822698695,0.01984660316413607,180507.5339377026,0,0,0,
inh_MC,864691135273485073,inhibitory,MC,25,4,610.1428571428571,82157.48586174569,0.18217635247468075,107769.64356536126,24,14,10,0.5833333333333334
inh_MC,864691135273485073,inhibitory,MC,26,4,566.6857142857143,49829.27989358133,0.11465001241878639,91605.54058127909,20,8,12,0.4
inh_MC,864691135273485073,inhibitory,MC,27,2,618.1100917431193,161512.56524401787,0.35582300670504186,112538.66206761744,48,28,20,0.5833333333333334
inh_MC,864691135273485073,inhibitory,MC,28,2,991.1428571428571,7715.1406267376415,0.013422590664280568,35639.949758977324,2,1,1,0.5
inh_MC,864691135273485073,inhibitory,MC,29,2,1314.2857142857142,8944.800730097633,0.013514077451359097,21501.26810590221,3,2,1,0.6666666666666666
inh_MC,864691135273485073,inhibitory,MC,30,2,798.4615384615385,17010.63656063843,0.032972675807058226,25534.18602117261,5,2,3,0.4
inh_MC,864691135273485073,inhibitory,MC,31,3,1069.3333333333333,7540.950007447601,0.012630779005409116,29744.14347467483,2,1,1,0.5
inh_MC,864691135273485073,inhibitory,MC,32,3,612.2857142857143,49693.84281920611,0.10999834374621598,50820.589880554086,28,21,7,0.75
inh_MC,864691135273485073,inhibitory,MC,33,4,742.4,5926.776525997866,0.011914071383821334,36478.00674139756,6,3,3,0.5
inh_MC,864691135273485073,inhibitory,MC,34,4,785.3333333333334,6305.35038795537,0.012323748789429202,36667.29367237632,3,1,2,0.3333333333333333
inh_MC,864691135273485073,inhibitory,MC,35,5,549.8529411764706,100006.5376630238,0.23359618346384106,89823.2376978659,55,43,12,0.7818181818181819
inh_MC,864691135273485073,inhibitory,MC,36,5,578.6875,92519.73793027618,0.21065558147349786,86079.8378314921,54,48,6,0.8888888888888888
inh_MC,864691135273485073,inhibitory,MC,37,5,577.1627906976744,126685.88687368407,0.2888282714391367,102784.33844123853,61,42,19,0.6885245901639344
inh_MC,864691135273485073,inhibitory,MC,38,5,699.3333333333334,10623.787952220897,0.022003811027954887,44753.28898050695,4,3,1,0.75
inh_MC,864691135273485073,inhibitory,MC,39,2,833.0,7503.184999475817,0.014239140695350575,58205.7815752539,6,4,2,0.6666666666666666
inh_MC,864691135273485073,inhibitory,MC,40,2,449.0,14852.839211370494,0.03839254805188663,61880.608681201236,3,2,1,0.6666666666666666
inh_MC,864691135273485073,inhibitory,MC,41,3,714.4,5986.455288228533,0.012267601151380324,64950.601719106075,2,1,1,0.5
